active_runtime_upload_manifest_present,blocking_warnings,case_id,companion_sha_match,creative_output_certified_false,delivery_allowed,fail_codes,field_source_trace_ledger_all_models,field_source_trace_ledgers,generate_rc,generate_result,generate_seconds,generate_timeout,level,model_count,post_completion_process_kill,profile360_61_per_model,profile360_counts,project_id,result,runtime_chatgpt,runtime_copilot,runtime_logical_10_plus_n,scope,techext_284_per_model,techext_counts,validate_rc,validate_result,validate_seconds,validate_timeout,validation_fail_codes,validation_source,validators_fail,zip_bytes,zip_sha256,zipfile_testzip
True,0,H238_COMPLETE_N10,PASS,True,PASS,[],True,10,0,PASS,184.642,False,complete,10,False,True,"[61, 61, 61, 61, 61, 61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_COMPLETE_N10_v1.0.0,PASS,20,20,True,commercial/internal,True,"[284, 284, 284, 284, 284, 284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,4514205,2fe454305839bdef508d80df49a074a5eb80cabf77af76d1ec8d577376cc68a0,PASS
True,0,H238_COMPLETE_N2,PASS,True,PASS,[],True,2,0,PASS,34.825,False,complete,2,False,True,"[61, 61]",IDUNEX_PROJECT_H238_COMPLETE_N2_v1.0.0,PASS,12,12,True,commercial/internal,True,"[284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,1355111,72c092386815540e7b6a32729e7382681e6d186a19712c6982ed3ebb5cfa6f0e,PASS
True,0,H238_COMPLETE_N3,PASS,True,PASS,[],True,3,0,PASS,49.058,False,complete,3,False,True,"[61, 61, 61]",IDUNEX_PROJECT_H238_COMPLETE_N3_v1.0.0,PASS,13,13,True,commercial/internal,True,"[284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,1703542,f823729cc2f725929ae8a306957560ffac2f54f0e401248cf3d3080870eb825f,PASS
True,0,H238_COMPLETE_N4,PASS,True,PASS,[],True,4,0,PASS,60.342,False,complete,4,False,True,"[61, 61, 61, 61]",IDUNEX_PROJECT_H238_COMPLETE_N4_v1.0.0,PASS,14,14,True,commercial/internal,True,"[284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,2062879,4dcd200e87c74dfa46bd380d9c4a53d0264135748874e455cef18c27b313395b,PASS
True,0,H238_COMPLETE_N5,PASS,True,PASS,[],True,5,0,PASS,78.276,False,complete,5,False,True,"[61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_COMPLETE_N5_v1.0.0,PASS,15,15,True,commercial/internal,True,"[284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,2438909,cf00201db24b734e107166d9a1cbaf99ce047a4f461b48b4de5e9db1849439a7,PASS
True,0,H238_COMPLETE_N6,PASS,True,PASS,[],True,6,0,PASS,92.846,False,complete,6,False,True,"[61, 61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_COMPLETE_N6_v1.0.0,PASS,16,16,True,commercial/internal,True,"[284, 284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,2836203,26ff4ee34bdd2ab8f0089f363df9279c275cf9c7706d7170dd24631e8cdbf7b9,PASS
True,0,H238_COMPLETE_N7,PASS,True,PASS,[],True,7,0,PASS,114.802,False,complete,7,False,True,"[61, 61, 61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_COMPLETE_N7_v1.0.0,PASS,17,17,True,commercial/internal,True,"[284, 284, 284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,3235219,6d3ece6e1561b47e32d89bd0c81fd451cbed9303386ca1512edc079b4a8fbf78,PASS
True,0,H238_COMPLETE_N8,PASS,True,PASS,[],True,8,0,PASS,132.811,False,complete,8,False,True,"[61, 61, 61, 61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_COMPLETE_N8_v1.0.0,PASS,18,18,True,commercial/internal,True,"[284, 284, 284, 284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,3650129,776d2631674533149d58ae0e98d212b08551f88b8f21d3073106ddf1b95ce3cd,PASS
True,0,H238_COMPLETE_N9,PASS,True,PASS,[],True,9,0,PASS,152.604,False,complete,9,False,True,"[61, 61, 61, 61, 61, 61, 61, 61, 61]",IDUNEX_PROJECT_H238_COMPLETE_N9_v1.0.0,PASS,19,19,True,commercial/internal,True,"[284, 284, 284, 284, 284, 284, 284, 284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,4077561,d109a0500aff686a3e37c3ce75e048aef5a8994e86d800e46c9f2ab4ac274f2e,PASS
True,0,H238_DEMO_N2,PASS,True,PASS,[],True,2,0,PASS,29.445,False,demo,2,False,True,"[61, 61]",IDUNEX_PROJECT_H238_DEMO_N2_v1.0.0,PASS,12,12,True,demo,True,"[284, 284]",0,PASS,0.0,False,[],GENERATE_FINAL_REOPENED_VALIDATION,0,1343253,6d4d5f374739998e9fb8ba902706c2e4c44bb850cb90aa53ddb9f1235fc7cd36,PASS
